model,accuracy,precision_macro,recall_macro,f1_macro,test_loss,epochs,input_size,batch_size,total_params,trainable_params,non_trainable_params,mean_inference_ms,size_mb
ResNet50,0.9683177153056672,0.9684249621948936,0.9685900494481124,0.9682688596313376,0.1070153787732124,5,224x224,32,23618447,30735,23587712.0,7.405343288751283,90.97477054595947
VGG16,0.9602855867916108,0.9606007391249024,0.9598131058965772,0.9599526584205124,0.1380876898765564,5,224x224,32,14722383,7695,14714688.0,6.626910133750243,56.3216609954834
EfficientNetB0,0.9460062472110664,0.9458979930728224,0.946666226258038,0.945702057716686,0.176763579249382,5,224x224,32,4068786,19215,4049571.0,9.207964598124363,16.487318992614746
MobileNetV2,0.9442213297634984,0.9457643170256534,0.943913884486302,0.9440868411582392,0.1675647944211959,5,224x224,32,2277199,19215,2257984.0,4.807671468749959,9.40800666809082
DenseNet121,0.9397590361445785,0.9405262135590696,0.9395363671432264,0.9391501380096484,0.1991115808486938,5,224x224,32,7052879,15375,7037504.0,14.458775374998822,28.482356071472168
